2013-11-06 10:37:27,563 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2013-11-06 10:37:27,588 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 14ms)
2013-11-06 10:37:27,605 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-11-06 10:37:28,071 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 463ms)
2013-11-06 10:37:28,120 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-11-06 10:37:28,127 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 6ms)
2013-11-06 10:37:28,131 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-11-06 10:37:28,139 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 7ms)
2013-11-06 10:37:28,139 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-11-06 10:37:28,144 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 4ms)
2013-11-06 10:37:28,150 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-11-06 10:37:28,156 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 5ms)
2013-11-06 10:37:28,156 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-11-06 10:37:28,163 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2013-11-06 10:37:28,542 [8] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Initializing Examine and binding to business logic events
2013-11-06 10:37:29,445 [8] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Adding examine event handlers for index providers: 3
2013-11-06 10:37:29,453 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplication
2013-11-06 10:37:29,465 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 11ms)
2013-11-06 10:37:29,539 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.ITree
2013-11-06 10:37:29,565 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 26ms)
2013-11-06 10:37:29,916 [8] INFO  umbraco.content - [Thread 10] Loading content from disk cache...
2013-11-06 10:37:30,592 [8] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2013-11-06 10:37:30,598 [8] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 17 (took 6ms)
2013-11-06 10:37:55,092 [8] INFO  umbraco.BasePages.BasePage - [Thread 10] User Ruben (Id: 0) logged in
2013-11-06 10:37:55,252 [8] INFO  Umbraco.Core.PluginManager - [Thread 13] Starting resolution types of umbraco.BusinessLogic.Actions.IActionHandler
2013-11-06 10:37:55,258 [8] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 5ms)
2013-11-06 10:37:55,394 [8] INFO  Umbraco.Core.PluginManager - [Thread 13] Starting resolution types of umbraco.interfaces.ITree
2013-11-06 10:37:55,413 [8] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of umbraco.interfaces.ITree, found 36 (took 19ms)
2013-11-06 10:37:58,762 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 15] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 10:37:58,910 [8] INFO  Umbraco.Core.PluginManager - [Thread 15] Starting resolution types of umbraco.interfaces.IDataType
2013-11-06 10:37:58,927 [8] INFO  Umbraco.Core.PluginManager - [Thread 15] Completed resolution of types of umbraco.interfaces.IDataType, found 36 (took 16ms)
2013-11-06 10:37:59,074 [8] INFO  Umbraco.Core.PluginManager - [Thread 15] Starting resolution types of umbraco.interfaces.ICacheRefresher
2013-11-06 10:37:59,089 [8] INFO  Umbraco.Core.PluginManager - [Thread 15] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 22 (took 15ms)
2013-11-06 10:37:59,226 [8] INFO  umbraco.presentation.publishingService - [Thread 14] test60 has been called with response: True
2013-11-06 10:51:38,447 [8] INFO  umbraco.cms.businesslogic.web.Document - [Thread 54] New document 1177
2013-11-06 10:51:40,748 [8] INFO  Umbraco.Core.Services.ContentService - [Thread 20] Content 'Hallo!' with Id '1177' could not be published because of invalid properties.
2013-11-06 10:52:17,170 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 58] Content 'Hallo!' with Id '1177' has been published.
2013-11-06 10:55:49,052 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 20] Content 'Hallo!' with Id '1177' has been published.
2013-11-06 10:57:04,079 [8] INFO  Umbraco.Core.PluginManager - [Thread 36] Starting resolution types of Umbraco.Web.BaseRest.RestExtensionAttribute
2013-11-06 10:57:04,092 [8] INFO  Umbraco.Core.PluginManager - [Thread 36] Completed resolution of types of Umbraco.Web.BaseRest.RestExtensionAttribute, found 2 (took 12ms)
2013-11-06 10:59:16,680 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 42] Content 'Patentvista NL' with Id '1054' has been published.
2013-11-06 11:00:01,447 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 20] Content 'Patentvista NL' with Id '1054' has been published.
2013-11-06 11:01:17,365 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 59] Content 'Patentvista NL' with Id '1054' has been published.
2013-11-06 11:01:45,808 [8] ERROR umbraco.editorControls.tinymce.tinyMCEImageHelper - [Thread 44] Error resizing image in editor
System.FormatException: Input string was not in a correct format.
   at System.Number.ParseSingle(String value, NumberStyles options, NumberFormatInfo numfmt)
   at umbraco.editorControls.tinymce.tinyMCEImageHelper.DoResize(IDictionary attributes, Int32& finalWidth, Int32& finalHeight, String& newSrc)
   at umbraco.editorControls.tinymce.tinyMCEImageHelper.cleanImages(String html)
2013-11-06 11:01:45,811 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 44] Content 'Patentvista NL' with Id '1054' has been published.
2013-11-06 11:02:10,648 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 45] Content 'Patentvista NL' with Id '1054' has been published.
2013-11-06 11:04:11,681 [8] INFO  umbraco.cms.businesslogic.web.Document - [Thread 32] New document 1180
2013-11-06 11:04:24,954 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 44] Content 'Vervolgpagina' with Id '1180' has been unpublished.
2013-11-06 11:08:44,192 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 10] Content 'Nederland' with Id '1156' has been unpublished.
2013-11-06 11:08:52,932 [8] INFO  umbraco.cms.businesslogic.web.Document - [Thread 81] New document 1181
2013-11-06 11:09:13,235 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 17] Content 'Nederland' with Id '1181' has been published.
2013-11-06 11:10:12,975 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 10] Content 'Nederland' with Id '1142' has been published.
2013-11-06 11:14:19,711 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 72] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:14:30,486 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 31] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:26:59,208 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 76] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:26:59,278 [8] INFO  umbraco.presentation.publishingService - [Thread 22] test60 has been called with response: True
2013-11-06 11:27:59,137 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 91] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:27:59,199 [8] INFO  umbraco.presentation.publishingService - [Thread 98] test60 has been called with response: True
2013-11-06 11:28:27,624 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 99] Content 'Instellingen' with Id '1173' has been published.
